,Rank,Player Name,Team,Points,Errors,Attempts,Average per match,Success %,Total,Year
379,68,Hoag,CAN,33,13,22,3.67,48.53,68,2022
380,68,Kaczmarek,POL,33,12,23,3.00,48.53,68,2022
381,69,Jelveh,IRI,32,8,19,2.46,54.24,59,2022
382,69,O'Dea,AUS,32,7,26,2.67,49.23,65,2022
383,69,Anzani,ITA,32,4,15,2.91,62.75,51,2022
384,70,Van Garderen,NED,31,16,35,3.44,37.80,82,2022
385,70,Kentaro,JPN,31,2,11,3.44,70.45,44,2022
386,70,Zaytsev,ITA,31,12,21,4.43,48.44,64,2022
387,71,Hofer,CAN,30,11,25,2.50,45.45,66,2022
388,71,Senica,AUS,30,27,27,2.50,35.71,84,2022
389,71,Nicolas,ARG,30,7,29,2.50,45.45,66,2022
390,72,Giannelli,ITA,29,2,19,1.93,58.00,50,2022
391,73,Muagututia,USA,27,7,14,2.45,56.25,48,2022
392,74,Eshenko,CAN,26,11,19,2.17,46.43,56,2022
393,74,M. Elser,CAN,26,8,21,2.17,47.27,55,2022
394,74,Gallego,ARG,26,3,19,2.17,54.17,48,2022
395,74,Zerba,ARG,26,9,18,2.17,49.06,53,2022
396,74,Pinali,ITA,26,10,16,3.25,50.00,52,2022
397,74,Murch,AUS,26,8,24,6.50,44.83,58,2022
398,75,Koncilja,SLO,25,4,20,2.08,51.02,49,2022
399,75,Jaeschke,USA,25,9,33,3.12,37.31,67,2022
400,75,Van Berkel,CAN,25,8,12,2.08,55.56,45,2022
401,75,Jouffroy,FRA,25,4,16,1.79,55.56,45,2022
402,76,Hazelden,AUS,24,14,16,3.00,44.44,54,2022
403,77,Katic,SRB,23,5,24,1.92,44.23,52,2022
404,77,Bednorz,POL,23,9,9,3.29,56.10,41,2022
405,78,Armoa Morel,ARG,22,21,31,1.83,29.73,74,2022
406,78,Staples,AUS,22,12,30,5.50,34.38,64,2022
407,78,Russo,ITA,22,2,10,3.14,64.71,34,2022
408,79,Chavdarov,BUL,21,4,11,1.75,58.33,36,2022
409,79,Muzaj,POL,21,7,14,5.25,50.00,42,2022
410,79,Aubrey,AUS,21,12,15,5.25,43.75,48,2022
411,80,Gasparini,SLO,20,8,13,2.50,48.78,41,2022
412,80,Wiltenburg,NED,20,9,13,1.54,47.62,42,2022
413,80,Dosanjh,AUS,20,5,13,1.67,52.63,38,2022
414,80,Ramos,ARG,20,4,15,1.67,51.28,39,2022
415,80,K. Russell,USA,20,4,15,2.86,51.28,39,2022
416,81,Murayama,JPN,19,3,10,1.46,59.38,32,2022
417,82,Nedeljković,SRB,18,6,9,4.50,54.55,33,2022
418,82,van Tilburg,NED,18,8,14,1.38,45.00,40,2022
419,82,Podraščanin,SRB,18,3,11,2.25,56.25,32,2022
420,83,Garrett,AUS,17,10,19,1.42,36.96,46,2022
421,83,Brizard,FRA,17,1,10,1.55,60.71,28,2022
422,84,Poręba,POL,16,4,4,2.00,66.67,24,2022
