,Rank,Player Name,Team,Successful,Errors,Attempts,Average per match,Success %,Total,Year
304,28,Barakova,BUL,25,2,106,2.08,18.80,133,2022
305,29,Caliskan,TUR,24,1,39,3.00,37.50,64,2022
306,30,Dijkema,NED,21,2,74,2.62,21.65,97,2022
307,31,P. Piyanut,THA,19,5,52,1.73,25.00,76,2022
308,32,M.Sirima,THA,18,2,84,2.25,17.31,104,2022
309,33,Wenerska,POL,14,0,188,1.75,6.93,202,2022
310,34,De Gennaro,ITA,12,0,99,0.80,10.81,111,2022
311,35,Larysmer,DOM,11,0,31,0.92,26.19,42,2022
312,35,B.Tichaya,THA,11,0,13,1.38,45.83,24,2022
313,35,Dahye,KOR,11,1,35,0.92,23.40,47,2022
314,36,Van Sas,BEL,10,1,44,1.25,18.18,55,2022
315,36,E. Şahin,TUR,10,0,60,1.43,14.29,70,2022
316,37,Stenzel,POL,9,1,92,0.75,8.82,102,2022
317,37,Jaksic,SRB,9,4,51,1.12,14.06,64,2022
318,38,M. Chatchu-On,THA,8,1,19,0.62,28.57,28,2022
319,39,Todorova,BUL,7,4,87,0.58,7.14,98,2022
320,39,Sohwi,KOR,7,0,17,0.58,29.17,24,2022
321,40,Peña Isabel,DOM,6,1,35,0.50,14.29,42,2022
322,40,K. Pimpichaya,THA,6,4,13,0.46,26.09,23,2022
323,40,Perez,DOM,6,1,1,1.50,75.00,8,2022
324,41,Natinha,BRA,5,1,40,0.33,10.87,46,2022
325,41,Jineiry,DOM,5,0,15,0.42,25.00,20,2022
326,41,K.Kaewkalaya,THA,5,0,7,0.38,41.67,12,2022
327,41,K. Ajcharaporn,THA,5,0,10,0.38,33.33,15,2022
328,41,Baker,CAN,5,0,14,0.62,26.32,19,2022
329,41,Gong X.Y.,CHN,5,3,46,0.38,9.26,54,2022
330,41,Wang Y.Y.,CHN,5,0,25,0.38,16.67,30,2022
331,41,Czyrniańska,POL,5,1,5,0.62,45.45,11,2022
332,42,Gonzalez,DOM,4,2,19,0.33,16.00,25,2022
333,42,P. Supattra,THA,4,0,11,0.44,26.67,15,2022
334,42,Shahpazova,BUL,4,0,5,0.50,44.44,9,2022
335,42,Degradi,ITA,4,0,9,0.33,30.77,13,2022
336,42,Szlagowska,POL,4,0,11,0.33,26.67,15,2022
337,42,Różański,POL,4,2,12,0.33,22.22,18,2022
338,42,Yuan X.Y.,CHN,4,1,15,0.31,20.00,20,2022
339,43,Martinez,DOM,3,1,19,0.25,13.04,23,2022
340,43,B. Hattaya,THA,3,1,5,0.30,33.33,9,2022
341,43,Dimitrova N.,BUL,3,1,18,0.25,13.64,22,2022
342,43,Haejin,KOR,3,3,59,0.38,4.62,65,2022
343,43,Janssens,BEL,3,0,18,0.25,14.29,21,2022
344,43,Pušić,SRB,3,0,129,0.20,2.27,132,2022
345,43,Wang Y.L.,CHN,3,0,20,0.23,13.04,23,2022
346,43,Wang W.Y.,CHN,3,0,57,0.23,5.00,60,2022
347,43,Ni F.F.,CHN,3,1,21,0.23,12.00,25,2022
348,43,Van Aalen,NED,3,0,30,0.75,9.09,33,2022
349,43,Robitaille,CAN,3,0,16,0.75,15.79,19,2022
350,43,Julia Kudiess,BRA,3,0,8,0.27,27.27,11,2022
351,44,Peralta,DOM,2,0,7,0.17,22.22,9,2022
352,44,S. Thanacha,THA,2,0,3,0.15,40.00,5,2022
353,44,J. Sasipapron,THA,2,0,2,0.20,50.00,4,2022
354,44,Paskova,BUL,2,0,22,0.17,8.33,24,2022
355,44,Aköz,TUR,2,2,69,0.13,2.74,73,2022
356,44,Nwakalor S.,ITA,2,0,7,0.13,22.22,9,2022
357,44,Van Ryk,CAN,2,1,52,0.17,3.64,55,2022
358,44,Van Avermaet,BEL,2,1,8,0.20,18.18,11,2022
359,44,Lohuis,NED,2,0,17,0.17,10.53,19,2022
360,44,Schoot,NED,2,2,86,0.17,2.22,90,2022
361,44,Dambrink,NED,2,1,11,0.17,14.29,14,2022
362,44,Palermo,CAN,2,0,28,0.25,6.67,30,2022
363,44,Gabi,BRA,2,0,16,0.18,11.11,18,2022
364,45,Pogany,GER,1,0,109,0.08,0.91,110,2022
365,45,Carol,BRA,1,2,28,0.07,3.23,31,2022
366,45,Pri Daroit,BRA,1,0,9,0.07,10.00,10,2022
367,45,Nyeme,BRA,1,0,75,0.07,1.32,76,2022
368,45,Kisy,BRA,1,1,16,0.07,5.56,18,2022
369,45,B. Tichakorn,THA,1,0,0,0.11,100.00,1,2022
370,45,B. Saykova,BUL,1,0,1,0.08,50.00,2,2022
371,45,Todorova M.,BUL,1,0,4,0.08,20.00,5,2022
372,45,Marinova,BUL,1,0,0,0.08,100.00,1,2022
373,45,Baladın,TUR,1,0,19,0.07,5.00,20,2022
374,45,Diken,TUR,1,0,9,0.07,10.00,10,2022
375,45,Güneş,TUR,1,2,28,0.07,3.23,31,2022
376,45,Kapucu,TUR,1,0,0,0.25,100.00,1,2022
377,45,Aydın,TUR,1,0,9,0.14,10.00,10,2022
378,45,Karakurt,TUR,1,1,14,0.07,6.25,16,2022
379,45,Gennari,ITA,1,0,2,0.09,33.33,3,2022
380,45,Bonifacio,ITA,1,0,3,0.07,25.00,4,2022
381,45,Perinelli,ITA,1,0,5,0.25,16.67,6,2022
382,45,Alagierska,POL,1,0,10,0.12,9.09,11,2022
383,45,Górecka,POL,1,0,13,0.08,7.14,14,2022
384,45,Fedusio,POL,1,0,2,0.08,33.33,3,2022
385,45,Łukasik,POL,1,0,5,0.08,16.67,6,2022
386,45,White,CAN,1,0,1,0.08,50.00,2,2022
387,45,Cross,CAN,1,0,12,0.08,7.69,13,2022
388,45,Juah,KOR,1,0,2,0.10,33.33,3,2022
389,45,Yerim,KOR,1,1,5,0.08,14.29,7,2022
390,45,Jeongah,KOR,1,2,11,0.08,7.14,14,2022
391,45,Yamagishi,JPN,1,0,13,0.08,7.14,14,2022
392,45,Kojima,JPN,1,0,117,0.08,0.85,118,2022
393,45,Hayashi,JPN,1,0,28,0.08,3.45,29,2022
394,45,Herbots,BEL,1,1,34,0.08,2.78,36,2022
395,45,Lemmens,BEL,1,0,23,0.08,4.17,24,2022
396,45,Martin,BEL,1,1,6,0.08,12.50,8,2022
397,45,Rampelberg,BEL,1,1,93,0.08,1.05,95,2022
