,Rank,Player Name,Team,Points,Errors,Attemps,Average per match,Success %,Total,Year
350,16,Graham,AUS,5,18,101,0.42,4.03,124,2022
351,16,Vicentin,ARG,5,23,75,0.42,4.85,103,2022
352,16,Śliwka,POL,5,18,65,0.45,5.68,88,2022
353,16,Christenson,USA,5,16,91,0.71,4.46,112,2022
354,16,De Cecco,ARG,5,11,54,1.25,7.14,70,2022
355,17,Li Y.Z.,CHN,4,21,77,0.40,3.92,102,2022
356,17,Kazemi,IRI,4,3,12,1.00,21.05,19,2022
357,17,Pajenk,SLO,4,28,72,0.33,3.85,104,2022
358,17,Kozamernik,SLO,4,18,120,0.33,2.82,142,2022
359,17,Parapunov,BUL,4,26,72,0.33,3.92,102,2022
360,17,Walsh,CAN,4,8,59,0.50,5.63,71,2022
361,17,Zimmermann,GER,4,10,113,0.36,3.15,127,2022
362,17,Krage,GER,4,23,75,0.36,3.92,102,2022
363,17,Yamauchi,JPN,4,16,126,0.31,2.74,146,2022
364,17,Jorna,NED,4,10,83,0.31,4.12,97,2022
365,17,Wiltenburg,NED,4,14,92,0.31,3.64,110,2022
366,17,Dosanjh,AUS,4,13,81,0.33,4.08,98,2022
367,17,Weir,AUS,4,13,52,0.50,5.80,69,2022
368,17,Kłos,POL,4,5,71,0.27,5.00,80,2022
369,17,Kwolek,POL,4,11,49,0.50,6.25,64,2022
370,17,Corre,FRA,4,11,27,0.57,9.52,42,2022
371,17,Vucicevic,SRB,4,4,12,1.00,20.00,20,2022
372,18,Yu Y.T.,CHN,3,21,92,0.30,2.59,116,2022
373,18,Yu Y.C.,CHN,3,16,88,0.30,2.80,107,2022
374,18,Vadi,IRI,3,9,130,0.23,2.11,142,2022
375,18,Gasparini,SLO,3,8,29,0.38,7.50,40,2022
376,18,Možič,SLO,3,33,72,0.25,2.78,108,2022
377,18,Tuaniga,USA,3,20,93,0.20,2.59,116,2022
378,18,Jaeschke,USA,3,11,31,0.38,6.67,45,2022
379,18,Chavdarov,BUL,3,12,39,0.25,5.56,54,2022
380,18,Kolev,BUL,3,3,115,0.25,2.48,121,2022
381,18,Gotsev,BUL,3,9,91,0.25,2.91,103,2022
382,18,Nedeljković,SRB,3,1,56,0.75,5.00,60,2022
383,18,Tille,GER,3,8,34,0.43,6.67,45,2022
384,18,Sekita,JPN,3,7,119,0.23,2.33,129,2022
385,18,Murayama,JPN,3,6,32,0.23,7.32,41,2022
386,18,Van Der Ent,NED,3,2,36,0.23,7.32,41,2022
387,18,Pope,AUS,3,30,85,0.25,2.54,118,2022
388,18,Butler,AUS,3,13,32,0.25,6.25,48,2022
389,18,Zerba,ARG,3,6,69,0.25,3.85,78,2022
390,18,Giraudo,ARG,3,9,15,0.38,11.11,27,2022
391,18,Vitelli,ITA,3,5,22,0.75,10.00,30,2022
392,18,Kaczmarek,POL,3,6,43,0.27,5.77,52,2022
393,18,Janusz,POL,3,11,63,0.27,3.90,77,2022
394,18,Stahl,USA,3,12,20,0.27,8.57,35,2022
395,18,Le Goff,FRA,3,18,51,0.30,4.17,72,2022
396,18,Čebulj,SLO,3,12,38,0.75,5.66,53,2022
397,19,Mitchem,USA,2,3,18,0.13,8.70,23,2022
398,19,Karyagin,BUL,2,12,27,0.17,4.88,41,2022
399,19,D. Dimitrov,BUL,2,4,37,0.17,4.65,43,2022
400,19,Grozdanov,BUL,2,5,31,0.50,5.26,38,2022
401,19,Mašulović N.,SRB,2,3,96,0.17,1.98,101,2022
402,19,Meljanac,SRB,2,13,21,0.25,5.56,36,2022
403,19,Hoag,CAN,2,12,45,0.22,3.39,59,2022
404,19,Blankenau,CAN,2,3,22,0.25,7.41,27,2022
405,19,Eshenko,CAN,2,15,50,0.17,2.99,67,2022
406,19,Howe,CAN,2,16,62,0.17,2.50,80,2022
407,19,Peter,GER,2,5,15,0.18,9.09,22,2022
408,19,Otsuka,JPN,2,10,61,0.15,2.74,73,2022
409,19,Miyaura,JPN,2,10,27,0.22,5.13,39,2022
410,19,Keemink,NED,2,6,132,0.15,1.43,140,2022
411,19,Parkinson,NED,2,3,26,0.15,6.45,31,2022
412,19,O'Dea,AUS,2,5,75,0.17,2.44,82,2022
413,19,Nicolas,ARG,2,7,48,0.17,3.51,57,2022
414,19,Armoa Morel,ARG,2,4,26,0.17,6.25,32,2022
415,19,Derouillon,FRA,2,8,9,0.14,10.53,19,2022
416,19,Pinali,ITA,2,9,14,0.25,8.00,25,2022
417,19,Vinčić,SLO,2,1,29,0.25,6.25,32,2022
418,19,Staples,AUS,2,12,30,0.50,4.55,44,2022
419,19,Röhrs,GER,2,0,6,1.00,25.00,8,2022
420,19,Darlan,BRA,2,17,46,0.22,3.08,65,2022
421,19,Podraščanin,SRB,2,6,44,0.25,3.85,52,2022
422,19,K. Russell,USA,2,8,24,0.29,5.88,34,2022
423,19,Russo,ITA,2,7,41,0.29,4.00,50,2022
424,20,Zhang B.L.,CHN,1,9,17,0.10,3.70,27,2022
425,20,Liu M.,CHN,1,3,3,0.25,14.29,7,2022
426,20,Zhang G.H.,CHN,1,19,67,0.10,1.15,87,2022
427,20,Reza,IRI,1,2,8,0.33,9.09,11,2022
428,20,A. Ramezani,IRI,1,1,13,0.12,6.67,15,2022
429,20,Mehrab,IRI,1,4,7,0.08,8.33,12,2022
